year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1999.9911,18.21,,,
2000.0179,29.79,,,
2000.045,16.24,,,
2000.0721,12.99,,,
2000.0992,-5.41,,,
2000.1267,2.16,,,
2000.1535,3.07,,,
2000.181,8.12,,,
2000.2079,11.84,,,
2000.2353,10.04,,,
2000.2895,-0.28,,,
2000.3166,-7.12,,,
2000.3436,-8.53,,,
2000.3708,-10.37,,,
2000.3981,-11.5,,,
2000.4251,-15.41,,,
2000.4524,6.13,,,
2000.4795,2.54,,,
2000.5066,3.65,,,
2000.5337,12.08,,,
2000.5882,10.87,,,
2000.6151,9.09,,,
2000.6424,15.38,,,
2000.6696,7.45,,,
2000.6965,-2.85,,,
2000.7235,-1.97,,,
2000.7508,-2.82,,,
2000.7781,-3.99,,,
2000.8054,-5.16,,,
2000.8595,4.7,,,
2000.886,2.33,,,
2000.9142,14.86,,,
2000.9408,11.75,,,
2000.9681,13.97,,,
2000.9951,9.64,,,
2001.0221,-2.65,,,
2001.0768,1.27,,,
2001.1041,17.05,,,
2001.1309,6.95,,,
2001.1581,0.59,,,
2001.1852,-2.2,,,
2001.2126,-7.35,,,
2001.2398,4.3,,,
2001.2667,16.2,,,
2001.2938,-6.16,,,
2001.3212,-1.04,,,
2001.3482,-0.16,,,
2001.3754,3.57,,,
2001.4027,-5.5,,,
2001.4296,-4.23,,,
2001.4568,-4.21,,,
2001.4841,13.01,,,
2001.5111,11.71,,,
2001.5381,20.69,,,
2001.5653,11.32,,,
2001.5924,16.82,,,
2001.6196,8.62,,,
2001.6469,6.57,,,
2001.6738,5.65,,,
2001.7011,15.56,,,
2001.7284,9.47,,,
2001.7555,-3.06,,,
2001.7825,2.46,,,
2001.8096,6.33,,,
2001.837,1.28,,,
2001.864,-6.02,,,
2001.8921,1.32,,,
2001.9182,20.22,,,
2001.9455,25.65,,,
2001.972,-1.67,,,
2001.9996,-15.07,,,
2002.0274,-15.04,,,
2002.0535,,8.18,,
2002.0541,11.96,,,
2002.0812,15.64,,,
2002.0817,,13.41,,
2002.1083,,8.64,,
2002.1085,13.37,,,
2002.1352,,10.23,,
2002.1356,7.08,,,
2002.1627,-0.13,-1.99,,
2002.1899,1.58,-11.19,,
2002.2169,,6.46,,
2002.217,14.84,,,
2002.2438,,3.48,,
2002.2441,7.04,,,
2002.2711,0.71,,,
2002.2714,,9.72,,
2002.2984,,17.57,,
2002.2991,9.86,,,
2002.3256,11.05,12.13,,
2002.3526,,16.63,,
2002.3527,19.1,,,
2002.3797,24.74,20.83,,
2002.4069,,8.09,,
2002.407,8.54,,,
2002.434,6.45,9.54,,
2002.4611,6.65,11.51,,
2002.4882,,36.16,,
2002.4885,39.91,,,
2002.5157,,41.91,,
2002.5427,,46.48,,
2002.5428,49.69,,,
2002.5698,,31.66,,
2002.5699,26.02,,,
2002.5968,,12.86,,
2002.597,3.85,,,
2002.624,,15.56,,
2002.6243,10.92,,,
2002.6512,,17.74,,
2002.6548,15.07,,,
2002.6783,,24.21,,
2002.6785,26.37,,,
2002.7056,,13.15,,
2002.7063,17.53,,,
2002.7328,,-0.79,,
2002.7329,2.6,,,
2002.7599,,-3.67,,
2002.7601,1.76,,,
2002.7864,13.51,,,
2002.7869,,14.05,,
2002.814,,30.14,,
2002.8149,35.17,,,
2002.8411,,2.41,,
2002.8419,14.53,,,
2002.8685,20.81,15.17,,
2002.8941,,18.08,,
2002.8961,12.79,,,
2002.9228,19.14,20.78,,
2002.9497,,21.52,,
2002.95,24.27,,,
2002.9769,,16.6,,
2002.977,20.51,,,
2003.0041,,-3.9,,
2003.0042,1.55,,,
2003.0315,-0.07,-2.38,,
2003.0584,0.7,-0.82,,
2003.0856,,19.84,,
2003.0857,19.89,,,
2003.1129,,6.81,,
2003.113,10.97,,,
2003.14,,0.12,,
2003.1401,8.54,,,
2003.1672,21.2,5.04,,
2003.1943,,-13.86,,
2003.1944,-0.59,,,
2003.221,2.41,,,
2003.2214,,0.32,,
2003.2485,,12.47,,
2003.2493,17.33,,,
2003.2757,17.09,,,
2003.2802,,16.88,,
2003.3028,5.61,,,
2003.3029,,7.86,,
2003.3301,,-16.23,,
2003.3303,-14.81,,,
2003.3571,,-1.97,,
2003.3573,4.13,,,
2003.3843,16.74,18.66,,
2003.4113,,11,,
2003.4114,6.74,,,
2003.4386,,1.76,,
2003.4387,-0.37,,,
2003.4657,,-5.22,,
2003.4658,-3.22,,,
2003.4928,,-9.89,,
2003.4929,0.58,,,
2003.52,,12.07,,
2003.5202,13.17,,,
2003.5472,17.09,,,
2003.5473,,18.09,,
2003.5742,,16.24,,
2003.5743,3.59,,,
2003.6014,7.45,,,
2003.6015,,9.6,,
2003.6286,,1.77,,
2003.6288,3.1,,,
2003.6557,,4.28,,
2003.6558,5.3,,,
2003.6829,5.51,9.39,,
2003.7099,,8.5,,
2003.71,1.58,,,
2003.737,,5.69,,
2003.7373,4.41,,,
2003.7642,,4.06,,
2003.7645,4.35,,,
2003.7915,,5.16,,
2003.7916,12.36,,,
2003.8185,,-1.92,,
2003.8188,3.82,,,
2003.8457,3.54,-2.72,,
2003.8708,,15.58,,
2003.873,10.78,,,
2003.9001,24.57,,,
2003.9114,,21.05,,
2003.9272,25.28,19.83,,
2003.954,21.59,,,
2003.9541,,12.51,,
2003.9811,17.43,,,
2003.9813,,8.95,,
2004.0084,5.49,,,
2004.0087,,6.42,,
2004.0358,,-7.6,,
2004.0359,-7.43,,,
2004.063,,-8.44,,
2004.0632,-8.17,,,
2004.0901,-3.93,,,
2004.0902,,-10.19,,
2004.1136,,-5.56,,
2004.1171,10.17,,,
2004.1443,15.92,,,
2004.1488,,16.27,,
2004.1716,,22.83,,
2004.1717,28.3,,,
2004.1988,,12.34,,
2004.199,14.12,,,
2004.2258,,3.54,,
2004.226,2.14,,,
2004.2511,,10.99,,
2004.2534,8.04,,,
2004.2801,7.37,,,
2004.2803,,5.27,,
2004.3074,,15.53,,
2004.3077,21.52,,,
2004.3344,24.18,14.22,,
2004.3615,,13.02,,
2004.3617,15.37,,,
2004.3886,32.77,,,
2004.3887,,24.3,,
2004.4158,,21.77,,
2004.4428,,15.56,,
2004.47,,15.62,,
2004.4729,25.12,,,
2004.4969,6.77,,,
2004.4975,,14.5,,
2004.5231,11.02,,,
2004.5244,,21.07,,
2004.55,7.52,,,
2004.5516,,15.59,,
2004.5773,-0.16,,,
2004.5788,,13.15,,
2004.6059,,15.66,,
2004.6066,16.1,,,
2004.633,,11.38,,
2004.6334,7.88,,,
2004.6602,,24.77,,
2004.6604,21.87,,,
2004.6873,0.8,4.97,,
2004.7144,-9.51,,,
2004.7145,,2.06,,
2004.7417,,-6.39,,
2004.7418,-13.33,,,
2004.7688,,6.56,,
2004.7689,9.2,,,
2004.7957,,13.38,,
2004.7959,11.48,,,
2004.8233,,7.54,,
2004.8234,6.46,,,
2004.8503,,1.3,,
2004.8504,-9.36,,,
2004.8773,10.52,,,
2004.8774,,12.87,,
2004.9044,,7.42,,
2004.9046,5.47,,,
2004.9316,,21.9,,
2004.9317,19.18,,,
2004.954,10.19,,,
2004.9588,,24.41,,
2004.9859,,22.97,,
2004.986,19.54,,,
2005.0132,-7.88,,,
2005.0133,,3.83,,
2005.04,-15.32,,,
2005.0402,,-6.22,,
2005.0672,-4.49,,,
2005.0674,,-4.74,,
2005.0946,21.24,11.39,,
2005.1217,29.61,22.49,,
