year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1999.9912,11.23,,,
2000.0184,37.07,,,
2000.0454,32.2,,,
2000.0727,23.87,,,
2000.0994,29.4,,,
2000.1272,42.21,,,
2000.1543,16.18,,,
2000.1814,15.93,,,
2000.2085,7.81,,,
2000.2356,6.18,,,
2000.2898,30.66,,,
2000.3171,23.84,,,
2000.3442,9.17,,,
2000.3714,20.57,,,
2000.3984,24.58,,,
2000.4256,20.14,,,
2000.4528,20.26,,,
2000.4799,16.1,,,
2000.5071,10.81,,,
2000.5343,13.37,,,
2000.5885,23.11,,,
2000.6154,15.36,,,
2000.6429,6.25,,,
2000.6699,-6.21,,,
2000.6972,10.58,,,
2000.7239,11.94,,,
2000.7515,15.51,,,
2000.7785,-1.75,,,
2000.8057,14.76,,,
2000.8601,14.39,,,
2000.8863,6.47,,,
2000.9149,7.59,,,
2000.9415,6.01,,,
2000.9687,3.04,,,
2000.9956,-0.11,,,
2001.0228,2.89,,,
2001.0776,20.55,,,
2001.1046,5.12,,,
2001.1315,10.27,,,
2001.1588,-4.27,,,
2001.1858,-5.39,,,
2001.2129,-11.87,,,
2001.2401,-10.16,,,
2001.2673,-12.24,,,
2001.2944,-8.96,,,
2001.3214,-11.77,,,
2001.3487,1.43,,,
2001.3758,-4.67,,,
2001.403,-15.51,,,
2001.4301,-9.84,,,
2001.4572,-5.99,,,
2001.4844,-0.85,,,
2001.5116,3.53,,,
2001.5386,3.3,,,
2001.5659,11.1,,,
2001.5929,-5.08,,,
2001.6202,-25.45,,,
2001.6473,-9.96,,,
2001.6744,0.39,,,
2001.7016,6.68,,,
2001.7288,8.77,,,
2001.7559,-2.67,,,
2001.7833,-0.29,,,
2001.8102,9.63,,,
2001.8374,19.7,,,
2001.8646,13.9,,,
2001.8923,-1.62,,,
2001.9188,-1.03,,,
2001.946,-5.74,,,
2001.9732,-3.67,,,
2002,2.04,,,
2002.0272,3.19,,,
2002.0538,,8.09,,
2002.0541,5.44,,,
2002.0817,14.99,,,
2002.0823,,23.75,,
2002.1089,16.59,22.01,,
2002.1359,,24.11,,
2002.136,14.75,,,
2002.1632,22.64,,,
2002.1633,,24.02,,
2002.1903,3.78,,,
2002.1907,,-3.25,,
2002.2176,0.15,-7.88,,
2002.2446,-19.03,-14.42,,
2002.2716,,10.57,,
